Rent,Address,Zip,num_bedrooms,num_bathrooms,num_sqft
"$2,140",15 Fort York Boulevard,M5V,1,1,550
"$3,300",1 Bloor Street East,M4W,2,2,
"$1,900",155 Yorkville Avenue,M5R,1,1,430
"$1,800",494 Avenue Road,M4V,1,1,
"$1,100",81 Navy Wharf Court,M5V,1,1,500
"$1,800",251 Jarvis Street,M5B,1,1,
"$1,850",909 Bay Street,M5S,1,1,500
"$2,000",170 Bayview Avenue,M5A,1,1,527
"$1,950",101 Peter Street,M5V,1,1,
"$2,695",60 Colborne Street,M5E,1,2,
"$2,650",1410 Dupont Street,M6H,2,2,871
"$2,100",386 Yonge Street,M5G,1,1,
"$1,900",4 Spadina Avenue,M5V,1,1,585
"$2,450",375 King Street West,M5V,1,1,717
"$2,000",1030 King Street West,M6K,1,1,495
"$2,450",27 Bathurst Street,M5V,1,2,
"$2,250",28 Ted Rogers Way,M4Y,1,1,
"$2,650",151 Dan Leckie Way,M5V,2,2,
"$2,000",75 Queens Wharf Road,M5V,1,1,
"$2,050",75 Queens Wharf Road,M5V,1,1,
"$2,380",16 Bonnycastle Street,M5A,1,1,644
"$2,995",25 Carlton Street,M5B,2,2,890
"$2,880",151 Dan Leckie Way,M5V,2,2,
"$2,000",576 Front Street West,M5V,1,1,521
"$2,700",125 Peter Street,M5V,2,1,680
"$2,300",75 Queens Wharf Road,M5V,1,1,
"$2,100",11 Wellesley Street West,M4Y,1,1,
"$2,400",36 Lisgar Street,M6J,2,2,560
"$2,230",85 East Liberty Street,M6K,1,1,600
"$2,550",88 Broadway Avenue,M4P,2,2,
"$3,499",95 Prince Arthur Avenue,M5R,2,2,
"$3,100",11 Wellesley Street West,M4Y,2,2,725
"$3,500",386 Yonge Street,M5G,2,2,
"$1,950",3 Navy Wharf Court,M5V,1,1,620
"$2,000",386 Yonge Street,M5G,1,1,
"$3,500",197 Yonge Street,M5B,3,2,882
"$1,899",115 Blue Jays Way,M5V,1,1,456
"$2,980",60 Berwick Avenue,M5P,2,2,
"$1,995",167 Bleecker Street,M4X,1,1,700
"$2,050",5 Saint Joseph Street,M4Y,1,1,
"$2,900",400 Adelaide Street East,M5A,2,2,
"$2,500",14 York Street,M5J,1,1,
"$2,250",1410 Dupont Street,M6H,1,1,
"$2,450",15 Queens Quay East,M5E,1,2,
"$2,200",210 Victoria Street,M5B,1,1,
"$1,400",10 Capreol Court,M5V,2,2,800
"$1,850",410 Queens Quay West,M5V,1,1,600
"$1,980",629 King Street West,M5V,1,1,
"$1,800",251 Jarvis Street,M5B,1,1,
"$1,995",25 The Esplanade,M5E,1,1,665
"$2,500",761 Bay Street,M5G,1,2,
"$2,600",637 Lake Shore Boulevard West,M5V,1,1,
"$1,950",25 Telegram Mews,M5V,1,1,
"$2,550",170 Sudbury Street,M6J,2,1,
"$2,595",42 Charles Street East,M4Y,2,1,
"$1,900",15 Grenville Street,M4Y,1,1,500
"$2,900",403 Church Street,M5B,2,2,
"$8,495",993 Queen St W,M6J,1,2,1500
"$2,200",20 Blue Jays Way,M5V,1,1,
"$3,350",8 Mercer Street,M5V,2,2,
"$3,000",30 Nelson Street,M5V,2,2,
"$2,250",120 Bayview Avenue,M5A,1,2,647
"$1,575",135 Rose Avenue,M4X,1,1,500
"$2,195",115 Blue Jays Way,M5V,1,1,560
"$3,200",386 Yonge Street,M5G,2,2,820
"$2,450",1990 Bloor Street West,M8X,1,1,
"$2,790",8 York Street,M5J,2,1,
"$2,100",101 Erskine Avenue,M4P,1,1 ½,600
"$1,950",386 Yonge Street,M5G,1,1,532
"$1,500",215 Queen Street West,M5V,1,1,742
"$2,400",7 Grenville Street,M4Y,1,1,518
"$2,400",70 Temperance Street,M5H,1,1,575
"$2,400",50 Wellesley Street East,M4Y,1,1,600
"$1,950",77 Shuter Street,M5B,1,2,554
"$2,000",88 Harbour Street,M5J,1,1,599
"$3,450",3 Navy Wharf Court,M5V,2,2,1200
"$1,950 - $2,850",16 Yonge Street,M5E,1 - 2,1 - 2,478-815
"$2,000",761 Bay Street,M5G,1,1,
"$2,650",18 Yorkville Avenue,M4W,1,1,600
"$1,775 - $3,425",570 Bay St,M5G,0 - 3,1,
"$2,100",87 Peter Street,M5V,1,1,
"$1,100",81 Navy Wharf Court,M5V,1,1,500
"$2,500",25 The Esplanade,M5E,1,1,980
"$2,590",161 Roehampton Avenue,M4P,2,2,
"$3,300",57 Saint Joseph Street,M5S,2,2,
"$2,200",210 Victoria Street,M5B,1,1,550
"$2,500",8 The Esplanade,M5E,1,1,625
"$2,500",1 Belsize Drive,M4S,1,1,560
"$3,000",51 Lower Simcoe Street,M5J,2,2,850
"$1,900",85 Queens Wharf Road,M5V,1,1,
"$4,100",126 Simcoe Street,M5H,3,2,1036
"$2,000",120 Bayview Avenue,M5A,1,1,500
"$2,000",25 Ritchie Avenue,M6R,1,1,
"$2,150",628 Fleet Street,M5V,1,1,
"$1,900",8 Eglinton Avenue East,M4P,1,1,466
"$2,100",461 Adelaide Street West,M5V,1,1,
"$2,350",825 Church Street,M4W,1,1,700
"$2,100",170 Bayview Avenue,M5A,1,1,650
"$1,880",49 McKenzie Avenue,M4W,1,1,500
"$2,450",70 Temperance Street,M5H,1,1,575
"$3,500",101 Peter Street,M5V,2,2,750
"$2,400",161 Roehampton Avenue,M4P,2,2,
"$1,995 - $2,295",352 Front Street West,M5V,1,1,570
"$2,400",75 East Liberty Street,M6K,1,1,
"$3,500",400 Wellington Street West,M5J,2,2,1085
"$2,000",3 Navy Wharf Court,M5V,1,1,724
"$1,950",181 Dundas Street East,M5A,1,1,
"$2,050",763 Bay Street,M5G,1,1,
"$3,600",224 King Street West,M5H,2,2,900
"$1,975",8 Eglinton Avenue East,M4P,1,1,
"$2,000",35 Bastion Street,M5V,1,1,550
"$2,300",58 Sherwood Ave | Unit: 6,M4P,2,1,780
"$2,400",200 Sackville Street,M5A,1,1,650
"$1,850",8 York Street,M5J,1,1,560
"$3,900",550 Queens Quay West,M5V,2,2,1200
"$1,900",30 Ordnance Street,M6K,1,1,496
"$1,900",70 Queens Wharf Road,M5V,1,1,505
"$2,000",55 Bremner Boulevard,M5J,1,1,600
"$3,300",19 Grand Trunk Crescent,M5J,2,2,
"$2,000",85 Queens Wharf Road,M5V,1,1,480
"$4,100",88 Harbour Street,M5J,3,2,
"$1,995 - $2,195",14 York Street,M5J,1,1,530
"$2,900",36 Charlotte Street,M5V,1,2,906
"$2,300",35 Mariner Terrace,M5V,1,1,700
"$1,850",251 Jarvis Street,M5B,1,1,
"$2,900",7 Grenville Street,M4Y,2,2,
"$2,200",88 Cumberland Street,M5R,1,1,
"$1,975",560 King Street West,M5V,1,1,485
"$1,950",101 Peter Street,M5V,1,1,500
"$2,800",115 Blue Jays Way,M5V,2,2,828
"$2,950",111 Saint Clair Avenue West,M4V,2,2,
"$2,800",60 Colborne Street,M5E,1,1,755
"$2,650",10 Yonge Street,M5E,1,1,750
"$2,250",21 Widmer Street,M5V,1,1,700
"$1,725",115 Blue Jays Way,M5V,1,1,472
"$2,150",7 Grenville Street,M4Y,1,1,517
"$4,250",32 Davenport Rd,M5R,2,2,950
"$2,100",150 Sudbury St | Unit: 1602,M6J,1,1,700
"$2,900",7 Grenville Street,M4Y,2,2,1110
"$2,800",15 Iceboat Terrace,M5V,2,2,
"$2,500",35 Mariner Terrace | Unit: Suite 4702,M5V,1,1,700
"$2,100",210 Simcoe Street,M5T,1,1,
"$2,000",251 Jarvis Street,M5B,1,1,
"$2,600",55 Centre Avenue,M5G,2,0,800
"$2,150",103 West Lodge Avenue,M6K,1,1,600
"$2,500",525 Adelaide Street West,M5V,1,2,
"$2,500",525 Adelaide Street West,M5V,1,2,655
"$1,900",318 Richmond Street West,M5V,1,1,500
"$2,300",253 Merton Street,M4S,1,1,
"$1,890",161 Roehampton Avenue,M4P,1,1,
"$2,000",188 Cumberland Street,M5R,1,1,
"$2,500",478 King Street West,M5V,1,1 ½,
"$2,050",25 Telegram Mews,M5V,1,1,590
"$2,100",5 Saint Joseph Street,M4Y,1,1,
"$1,995",208 Queens Quay West,M5J,1,1,553
"$2,300",373 Front Street West,M5V,1,1,
"$1,900",8 Hillsdale Avenue East,M4S,1,1,558
"$3,400",825 Church Street,M4W,2,2,
"$2,600",38 Grenville Street,M4Y,1,1,
"$2,000",Stewart Street,M5V,1,1,420
"$2,100",25 Telegram Mews,M5V,1,1,
"$3,250",38 Grenville Street,M4Y,2,2,
"$2,100",55 Merchants' Wharf,M5A,1,1,576
"$2,950",55 Bremner Boulevard,M5J,1,0 ½,600
"$1,950",51 East Liberty Street,M6K,1,1 ½,570
"$1,970",197 Yonge St,M5B,1,1,400
"$2,700",1080 Bay Street,M5S,1,1,675
"$1,850",115 Blue Jays Way,M5V,1,1,
"$2,100",15 Iceboat Terrace,M5V,1,1,650
"$2,600",125 Peter Street,M5V,2,1,
"$2,200",87 Peter St,M5V,1,1,520
"$2,250",352 Front Street West,M5V,1,1,660
"$2,300",215 Fort York Boulevard,M5V,1,1,
"$2,950",75 Queens Wharf Road,M5V,2,2,938
"$1,950",11 Wellesley Street West,M4Y,1,1,
"$2,099",88 Charles Street East,M4Y,1,1,600
"$2,500",16 Bonnycastle Street,M5A,1,2,
"$3,150",386 Yonge Street,M5G,2,2,
"$2,350",85 Queens Wharf Road,M5V,1,1,
"$2,400",801 Bay Street,M5S,1,1,650
"$2,150",25 Carlton Street,M5B,1,1,
"$2,487",23 Brant Street,M5V,1,1,675
"$1,999",36 Western Battery Road,M6K,1,1,550
"$2,500",383 Sorauren Avenue,M6R,1,1,690
"$2,600",460 Adelaide Street East,M5A,2,2,
"$2,700",330 Adelaide Street East,M5A,2,2,900
"$2,550",43 Eglinton Avenue East,M4P,2,1,700
"$2,650",75 East Liberty Street,M6K,2,2,
"$2,850",300 Front Street West,M5V,2,2,900
"$2,100",7 Broadway Avenue,M4P,1,1,
"$1,790",1 Belsize Drive,M4S,1,1,425
"$1,850",77 Shuter Street,M5B,1,1,515
"$2,350",197 Yonge Street,M5B,1,1,645
"$1,950",Edgewater Drive,M5A,1,1,500
"$2,850",25 Telegram Mews,M5V,2,2,933
"$1,950",181 Dundas Street East,M5A,1,1,
"$2,200",78 Tecumseth Street,M5V,1,1,
"$3,800",200 Bloor Street West,M5S,2,2,950
"$2,150",220 Victoria Street,M5B,1,1,
"$2,000",105 Victoria Street,M5C,1,1,
"$2,350",168 Simcoe Street,M5H,1,1,765
"$2,080",295 Adelaide Street West,M5V,2,1,700
"$1,000",125 Redpath Avenue,M4S,1,1,300
"$2,250",125 Redpath Avenue,M4S,1,1,
"$2,250",460 Adelaide Street East,M5A,1,1,677
"$3,000",125 Blue Jays Way,M5V,2,2,800-866
"$2,125",1 The Esplanade,M5E,1,1,550
"$2,600",1080 Bay Street,M5S,1,1,
"$2,500",478 King Street West,M5V,1,1,700
"$2,200",33 Mill Street,M5A,1,1,568
"$3,200",438 King Street West,M5V,2,2,
"$1,850",89 Dunfield Avenue,None,1,1,
"$2,250",Baseball Place,M4M,2,2,760
"$2,350",5 Hanna Avenue,M6K,1,1 ½,650
"$2,400",42 Charles Street East,M4Y,1,1,722
"$2,275",155 Yorkville Avenue,M5R,1,0 ½,800
"$2,150",20 Bruyeres Mews,M5V,1,1,
"$2,000",11 Charlotte Street,M5V,1,1,525
"$2,250",15 Fort York Boulevard,M5V,1,1,587
"$2,900",85 Wood Street,M4Y,2,2,775
"$1,995",88 Blue Jays Way,M5V,1,1,575
"$2,100",8 Mercer Street,M5V,1,0 ½,623
"$1,780",169 Fort York Boulevard,M5V,1,1,525
"$2,200",151 Dan Leckie Way,M5V,1,1,
"$1,725",105 The Queensway,M6S,1,1,463
"$2,900",199 Richmond Street West,M5V,2,2,
"$2,100",30 Ordnance Street,M6K,1,1,
"$2,900",101 Charles Street East,M4Y,2,2,
"$1,790",51 East Liberty Street,M6K,1,1,525
"$2,400",290 Adelaide St W,M5V,1,1,
"$2,550",208 Queens Quay West,M5J,1,2,765
"$2,000",33 Bay Street,M5J,1,1,593
"$2,750",80 Queens Wharf Road,M5V,2,2,836
"$2,000",25 Capreol Court,M5V,1,1,
"$2,200",33 Bay Street,M5J,1,1,
"$2,100",220 Victoria Street,M5B,1,2,770
"$1,950",120 Parliament Street,M5A,1,1,
"$2,200",88 Scott Street,M5E,1,1,600
"$2,200",899 Queen Street East,M4M,1,1,680
"$3,100",1733 Queen Street East,M4L,2,2,1100
"$3,300",215 Fort York Boulevard,M5V,2,2,
"$1,925",181 Dundas Street East,M5A,1,1,
"$1,850",181 Dundas Street East,M5A,1,1,
"$2,500",250 Queens Quay West,M5J,2,1,
"$2,050",11 Wellesley Street West,M4Y,1,1,446
"$2,150 - $2,950",20 Blue Jays Way,M5V,1 - 2,1 - 2 ½,700-920
"$2,085",320 Richmond Street East,M5A,1,1,
"$2,499",19 Grand Trunk Crescent,M5J,2,2,773
"$2,700",525 Adelaide Street West,M5V,1,2,
"$3,750",88 Cumberland Street,M5R,2,2,1000
"$2,700",16 Bonnycastle Street,M5A,1,1,675
"$1,995",161 Roehampton Avenue,M4P,1,1,574
"$1,850",955 Bay Street,M5S,1,1,370
"$2,300",270 Wellington Street West,M5V,1,1,700
"$2,500",30 Roehampton Avenue,M4P,1,1,
"$2,250",942 Yonge Street,M4W,1,1,
"$2,100",255 Richmond Street East,M5A,1,1,600
"$1,950",1 Belsize Drive,M4S,1,1,540
"$1,950",55 East Liberty Street,M6K,1,1,
"$3,125",8 The Esplanade,M5E,2,2,800
"$2,700",14 York Street,M5J,2,2,
"$2,100",1910 Lake Shore Boulevard West,M6S,1,0 ½,685
"$2,650",8 The Esplanade,M5E,1,1,637
"$2,080",1080 Bay Street,M5S,1,1,
"$1,900",80 Charles Street East,M4Y,1,1,
"$2,400",75 East Liberty Street,M6K,1,2,
"$1,890",1121 Bay Street,M5S,1,1,
"$2,500",85 Wood Street,M4Y,2,1,
"$2,100",38 Ordnance Street,M6K,1,1,600
"$1,950",83 Redpath Avenue,M4S,1,1,505
"$2,250",28 Linden Street,M4Y,1,1,570
"$3,100",21 Carlton Street,M5B,2,2,
"$1,950",115 Blue Jays Way,M5V,1,1,521
"$1,995",426 University Avenue,M5G,1,1,
"$2,250",508 Wellington Street West,M5V,1,1,
"$3,500",410 Queens Quay West,M5V,2,2,1200
"$1,850",403 Church Street,M5B,1,1,
"$2,000",2181 Yonge Street,M4S,1,1,580
"$3,300",65 Southport St,M6S,3,1 ½,1200
"$2,500",105 George Street,M5A,1,1,
"$2,250",120 Parliament Street,M5A,2,1,590
"$2,400",320 Richmond Street East,M5A,1,1,
"$2,150",87 Peter Street,M5V,1,1,
"$1,850",165 Legion Rd N,M8Y,1,1,525
"$2,495",10 Queens Quay West,M5J,1,1 ½,940
"$1,975",955 Bay Street,M5S,1,1,
"$2,195 - $2,995",120 Homewood Ave,M4Y,1 - 2,1 - 2,642-868
"$1,950",125 Redpath Avenue,M4S,1,2,
"$2,150",251 Jarvis Street,M5B,2,1,
"$3,700",20 Scrivener Square,M4W,1,2,850
"$1,850",508 Wellington Street West,M5V,1,1,
"$2,300",152 Saint Patrick Street,M5T,1,1,
"$3,200",400 Wellington Street West,M5J,2,2,840
"$2,250",58 Orchard View Boulevard,M4R,1,1,600
"$2,100",25 Carlton Street,M5B,1,1,625
"$1,850",120 Parliament Street,M5A,1,1,490
"$2,400",350 Wellington Street West,M5V,1,1,650
"$2,500",90 Stadium Road,M5V,1,1,700
"$2,300",20 Tubman Avenue,M5A,1,1,621
"$2,950",8 The Esplanade,M5E,1,2,800
"$2,500",8 The Esplanade,M5E,1,1,640
"$2,100",77 Shuter Street,M5B,1,1,552
"$2,600",15 Iceboat Terrace,M5V,2,2,
"$2,300",1420 Dupont Street,M6H,2,1,600
"$2,800",150 East Liberty Street,M6K,1,2,
"$2,880",386 Yonge Street,M5G,2,2,
"$2,300",38 Elm Street,M5G,1,1,756
"$2,150",125 Blue Jays Way,M5V,1,1,608
"$3,300",20 Tubman Avenue,M5A,3,2,
"$1,995",440 Richmond Street West,M5V,1,1,630
"$2,700",89 McGill Street,M5B,2,2,800
"$3,900",60 Colborne Street,M5E,2,2,
"$1,900",270 Wellington Street West,M5V,1,1,
"$3,300",11 Wellesley Street West,M4Y,2,2,
"$2,950",8 Wellesley Street East,M4Y,2,2,
"$3,200",628 Fleet Street,M5V,2,2,981
"$6,000",65 Bremner Boulevard,M5J,3,2,900
"$2,350",22 Leader Lane,M5E,1,1,475
"$1,800",576 Front Street West,M5V,1,1,495
"$3,050",50 Wellesley Street East,M4Y,2,2,
"$2,300",200 Bloor Street West,M5S,1,1,560
"$1,400",215 Queen Street West,M5V,1,1,750
"$2,300",637 Lake Shore Boulevard West,M5V,1,1,688
"$2,000",388 Bloor Street East,M4W,1,1,
"$2,450",2131 Yonge Street,M4S,2,2,
"$1,995",150 East Liberty Street,M6K,1,1,
"$3,100",112 George Street,M5A,2,2,1100
"$1,900",75 East Liberty Street,M6K,1,1,525
"$2,200",170 Fort York Boulevard,M5V,1,1,499
"$1,850",181 Dundas Street East,M5A,1,1,
"$2,075",10 York Street,M5J,1,1,586
"$1,775",125 Blue Jays Way,M5V,1,1,504
"$3,600",35 Mariner Terrace,M5V,2,2,
"$2,900",209 Fort York Boulevard,M5V,2,2,1050
"$2,700",215 Fort York Boulevard,M5V,2,2,
"$1,850",68 Abell Street,M6J,1,1,
"$2,050",161 Roehampton Avenue,M4P,1,1,
"$2,000",560 Front Street West,M5V,1,1,550
"$1,525 - $2,450",322 Eglinton Ave E,M4P,0 - 2,1,462-912
"$2,580",763 Bay Street,M5G,1,1,
"$3,000",761 Bay Street,M5G,2,2,950
"$2,750",103 The Queensway,M6S,2,2,
"$2,100",150 East Liberty Street,M6K,1,1,
"$1,750 - $4,450",101 Erskine Avenue,M4P,0 - 3,1 - 2 ½,435-1708
"$2,286",37 Sudbury Street,M6J,2,1,800
"$2,100",75 Queens Wharf Road,M5V,1,1,
"$2,100",25 Capreol Court,M5V,1,1,
"$2,300",361 Front Street West,M5V,1,1,
"$1,875",98 Lillian Street,M4S,1,1,
"$1,895 - $4,295",10 York Street,M5J,1 - 3,1 - 2 ½,575-1305
"$3,000",825 Church Street,M4W,2,2,777
"$1,950",120 Parliament Street,M5A,1,1,
"$3,400",33 Bay Street,M5J,2,2,
"$2,775",55 Bremner Boulevard,M5J,1,0 ½,600
"$3,200",21 Balmuto Street,M4Y,2,2,
"$1,900",629 King Street West,M5V,1,1,
"$2,800",50 Charles Street East,M4Y,2,1,
"$2,400",21 Widmer Street,M5V,1,1,770
"$1,900",68 Abell Street,M6J,1,1,
"$2,000",200 Dundas Street East,M5A,1,1,530
"$2,995",36 Howard Park Avenue,M6R,1,1 ½,650
"$2,100",85 Wood Street,M4Y,1,1,
"$2,000",955 Bay Street,M5S,1,1,577
"$2,100",170 Bayview Avenue,M5A,1,1,527
"$2,700",70 Temperance Street,M5H,2,2,
"$1,850",120 Parliament Street,M5A,1,1,550
"$3,000",45 Charles Street East,M4Y,2,2,
"$2,200",320 Richmond Street East,M5A,1,1,540
"$2,500",576 Front Street West,M5V,1,2,
"$2,100",85 Wood Street,M4Y,1,1,
"$2,600",11 Wellesley Street West,M4Y,2,2,
"$3,250",218 Queens Quay West,M5J,2,2,840
"$2,999",25 Capreol Court,M5V,2,2,900
"$1,999",25 The Esplanade,M5E,1,1,650
"$2,000",12 York Street,M5J,1,1,
"$2,000",38 Stewart Street,M5V,1,1,
"$3,850",80 John Street,M5V,2,2,1151
"$4,900",251 Queens Quay West,M5J,2,2,
"$2,540",801 King Street West,M5V,1,1,650
"$2,300",8 Charlotte Street,M5V,1,1,675
"$2,200",70 Roehampton Avenue,M4R,1,1,
"$2,800",17 Dundonald Street,M4Y,2,2,
"$4,465",Edgewater Drive,M5A,3,3,1399
"$2,600",Hillsdale Avenue East,None,2,2,600
"$1,950",426 University Avenue,M5G,1,1,
"$1,100",81 Navy Wharf Court,M5V,1,1,500
"$2,940",25 Telegram Mews,M5V,2,2,
"$2,000",10 Capreol Court,M5V,1,1,
"$2,050",11 Wellesley Street West,M4Y,1,1,489
"$1,800",77 Shuter Street,M5B,1,1,380
"$2,300",1 The Esplanade,M5E,1,1,700
"$1,850",251 Jarvis Street,M5B,1,1,527
"$2,100",295 Adelaide Street West,M5V,1,1,
"$3,200",32 Davenport Road,M5R,2,2,856
"$2,450",295 Adelaide Street West,M5V,1,1,
"$2,700",125 Peter Street,M5V,2,1,655
"$1,900",115 Richmond Street East,M5C,1,1,
"$2,700",55 Bremner Boulevard,M5J,1,1,600
"$2,350",185 Roehampton Avenue,M4P,1,1,630
"$2,350",111 Saint Clair Avenue West,M4V,1,1,650
"$2,700",25 Cole Street,M5A,2,2,
"$1,750",36 Lisgar Street,M6J,1,1,450
"$1,999",200 Dundas Street East,M5A,1,1,
"$1,799 - $2,395",251 Jarvis Street,M5B,1 - 2,1 - 2,521-758
"$1,900",352 Front Street West,M5V,1,1,
"$2,000",14 York Street,M5J,1,1,529
"$2,850",80 Queens Wharf Road,M5V,2,2,736
"$2,100",373 Front Street West,M5V,1,1,
"$1,950",426 University Avenue,M5G,1,1,
"$2,150",120 Homewood Avenue,M4Y,1,1,
"$2,100",25 Lower Simcoe Street,M5J,1,1,550
"$2,500",12 Bonnycastle Street,M5A,1,2,
"$3,300",15 Fort York Boulevard,M5V,2,2,1073
"$2,800",955 Bay Street,M5S,2,2,
"$2,850",50 Wellesley Street East,M4Y,1,1,
"$1,950",101 Peter Street,M5V,1,1,499
"$2,600",5 Soudan Avenue,M4S,2,2,
"$2,200",25 Telegram Mews,M5V,1,1,
"$4,000",199 Richmond Street West,M5V,2,2,
"$2,300",197 Yonge St,M5B,1,1,643
"$2,800",85 Queens Wharf Road,M5V,2,2,
"$2,250",525 Adelaide Street West,M5V,1,1,
"$3,600",170 Avenue Road,M5R,2,2,
"$2,300",381 Front Street West,M5V,1,1,678
"$2,500",1901 Yonge Street,M4S,2,2,
"$1,975",50 Bruyeres Mews,M5V,1,1,515
"$2,100",251 Jarvis Street,M5B,1,1,
"$2,500",14 York Street,M5J,2,1,
"$1,950",355 Church St,M5B,1,1,435
"$4,300",88 Harbour Street,M5J,3,2,
"$2,900",19 River Street,M5A,2,2,
"$2,050",763 Bay Street,M5G,1,1,600
"$1,900",70 Queens Wharf Road,M5V,1,1,590
"$2,200",1 The Esplanade,M5E,1,1,550
"$2,450",19 Grand Trunk Crescent,M5J,1,1,650
"$6,000",99 Harbour Square,M5J,2,1 ½,1154
"$2,000",44 Saint Joseph Street,M4Y,1,1,
"$2,580",15 Queens Quay East,M5E,2,1,685
"$2,200",30 Nelson Street,M5V,1,1,599
"$2,350",209 Fort York Boulevard,M5V,1,1,500
"$2,200",125 Redpath Avenue,M4S,1,2,
"$2,000",425 University Avenue,M5G,1,1,
"$3,900",9 Boardwalk Drive,M4L,2,2,
"$3,100",88 Scott Street,M5E,2,2,
"$1,698",159 Dundas Street East,M5B,1,1,560
"$2,100",270 Wellington Street West,M5V,1,1,750
"$2,200",215 Fort York Boulevard,M5V,1,1,692
"$1,950",58 Orchard View Boulevard,M4R,1,1,
"$2,500",125 Redpath Avenue,M4S,1,2,
"$1,930",115 Blue Jays Way,M5V,1,1,521
"$3,000",101 Charles Street East,M4Y,2,2,950
"$2,300",10 York Street,M5J,1,1,625
"$2,500",80 John Street,M5V,1,1,
"$1,700",88 Harbour Street,M5J,1,1,350
"$3,995",246 Logan Avenue,M4M,2,2,1000
"$1,900",12 York Street,M5J,1,1,
"$2,350",51 East Liberty Street,M6K,1,2,680
"$2,800",5 Hanna Avenue,M6K,1,2,890
"$2,250",89 Dunfield Avenue,None,1,1,660
"$3,000",19 Grand Trunk Crescent,M5J,2,2,
"$2,100",50 Charles Street East,M4Y,1,1,
"$2,500",2131 Yonge Street,M4S,2,2,
"$2,800",21 Carlton Street,M5B,2,2,
"$2,200",209 Fort York Boulevard,M5V,1,1,
"$2,000",125 Redpath Avenue,M4S,1,2,600
"$3,500",77 Harbour Square,M5J,2,2,1220
"$2,450",10 York Street,M5J,1,1,580
"$2,370",30 Roehampton Avenue,M4P,1,1,654
"$2,850",14 York Street,M5J,2,2,
"$2,890",251 Jarvis Street,M5B,3,1,880
"$2,100",11 Wellesley Street West,M4Y,1,1,560
"$1,800",58 Orchard View Boulevard,M4R,1,1,
"$1,800",Queens Quay West,None,1,1,800
"$1,950",10 York Street,M5J,1,1,582
"$3,600",7 Carlton Street,M5B,2,2,1000
"$1,850 - $3,195",89 McGill Street,M5B,0 - 3,1 - 2,427-832
"$2,600",55 Regent Park Boulevard,M5A,2,2,900
"$1,925",159 Dundas Street East,M5B,1,1,
"$1,850",181 Dundas Street East,M5A,1,1,
"$1,920",705 King Street West,M5V,1,1,533
"$2,600",318 Richmond Street West,M5V,2,2,791
"$2,000",159 Dundas Street East,M5B,1,1,
"$2,500",70 Alexander Street,M4Y,1,2,780
"$2,750",80 Queens Wharf Road,M5V,2,2,736
"$1,950",763 Bay Street,M5G,1,1,
"$1,950",120 Parliament Street,M5A,1,1,490
"$2,200",19 Grand Trunk Crescent,M5J,1,1,
"$2,100",14 York Street,M5J,1,1,529
"$2,400",783 Bathurst Street,M5S,1,1,700
"$2,395",33 Mill Street,M5A,1,1,
"$2,000",50 Bruyeres Mews,M5V,1,1,
"$1,900",44 Gerrard Street West,M5G,1,1,629
